"	Copilot Raw	",,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,8.09,4.5,[20] x 2
2,9.13,2.2,[20]
3,8.71,8.7,[20] x 2
4,8.92,5.3,[20] x 2
5,8.31,6.7,[20] x 2
6,8.67,9.2,[20] x 2
7,8.25,10.8,[20] x 2
8,8.19,11.3,[20] x 2
9,8.01,6.7,[20] x 2
10,8.22,12.4,[20]
,,,
Idea 1,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,10.03,4.5,"[770, 307, 400], [20], [912, 434]"
2,10.09,1.1,[20] x 2
3,9.35,6.7,[20] x 2
4,10.34,4.5,[20] x 2
5,9.68,6.2,[20] x 2
6,9.72,7.8,[20] x 2
7,9.33,4.5,[20] x 2
8,10.01,9.3,[20] x 2
9,10.08,8.9,[20] x 2
10,10.06,10.2,[20] x 2
,,,
Idea 2,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,11.32,7.4,None
2,11.76,9.9,[20]
3,11.52,7.5,[20]
4,10.92,8.1,None
5,11.66,5.3,[20]
6,11.32,2.1,[20]
7,11.68,3.4,[20]
8,11.21,1.1,None
9,11.92,1.3,None
10,11.29,4.6,None
,,,
Idea 3,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,,N/A,
2,,N/A,
3,,N/A,
4,,N/A,
5,,N/A,
6,,N/A,
7,,N/A,
8,,N/A,
9,,N/A,
10,,N/A,
