"	Copilot Raw	",,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,293.99,5.7,"[22, 23, 36, 73, 99]"
2,346.08,8.3,"[209, 497]"
3,391.42,6.9,"[22, 23, 36, 73, 99], [79, 116], [209, 497]"
4,238.36,7.2,None
5,371.32,4.5,"[22, 23, 36, 73, 99]"
6,401.28,6.8,"[22, 23, 36, 73, 99]"
7,260.41,9.2,"[22, 23, 36, 73, 99], [79, 116]"
8,255.17,3.5,"[209, 497]"
9,309.81,5.3,"[22, 23, 36, 73, 99], [79, 116], [209, 497]"
10,282.14,2.1,None
,,,
Idea 1,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,116.85,5.6,"[22, 23, 36, 73, 99] x 3, [79, 116], [209, 497]"
2,147.14,7.3,None
3,108.98,8.9,"[22, 23, 36, 73, 99], [209, 497]"
4,104.39,9.2,None
5,77.58,5.6,"[22, 23, 36, 73, 99]"
6,180.89,11.2,"[209, 497]"
7,134.28,5.6,None
8,77.47,7.8,None
9,136.41,9.2,"[22, 23, 36, 73, 99]"
10,127.81,10.1,"[209, 497]"
,,,
Idea 2,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,418.95,5.3,None
2,436.17,5.6,None
3,309.73,6.1,None
4,417.95,6.2,"[22, 23, 36, 73, 99]"
5,371.36,7.8,None
6,446.15,9.3,"[22, 23, 36, 73, 99]"
7,371.84,5.7,None
8,443.84,7.2,None
9,343.18,5.4,None
10,346.63,5.5,None
,,,
Idea 3,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,81.13,5.4,None
2,59.21,7.2,None
3,105.17,6.3,None
4,95.95,8.1,"[209, 497] x 2"
5,76.32,6.7,None
6,87.44,10.1,None
7,63.35,5.2,None
8,64.12,6.2,None
9,63.58,7.3,None
10,87.39,4.5,None
