"	Copilot Raw	",,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,49.98,11.4,"[327, 328, 916], [209, 497]"
2,48.73,9.4,"[209, 497]"
3,49.02,8.1,"[209, 497], [327, 328, 916]"
4,51.34,6.3,None
5,46.78,10.7,"[89], [327, 328, 916]"
6,43.21,9.1,"[327, 328, 916]"
7,50.09,16.3,"[327, 328, 916]"
8,45.72,12.3,"[327, 328, 916], [209, 497]"
9,44.66,9.5,"[327, 328, 916], [209, 497]"
10,57.29,16.4,None
,,,
Idea 1,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,70.08,4,"[327, 328, 916]"
2,80.72,1.9,"[327, 328, 916]"
3,68.93,5.8,"[327, 328, 916]"
4,66.24,5.2,"[327, 328, 916]"
5,55.33,1.8,"[327, 328, 916]"
6,58.35,8.7,"[327, 328, 916]"
7,66.11,8.6,"[327, 328, 916]"
8,63.19,13.4,"[327, 328, 916]"
9,72.42,1.5,"[327, 328, 916]"
10,72.99,12.4,"[327, 328, 916]"
,,,
Idea 2,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,89.92,7.1,None
2,81.33,10.8,None
3,73.98,12.4,None
4,61.29,8.6,"[327, 328, 916]"
5,70.02,3.4,"[327, 328, 916]"
6,68.01,16.8,"[327, 328, 916]"
7,82.63,1.9,None
8,68.72,9,"[327, 328, 916]"
9,82.13,13,None
10,81.09,14.5,None
,,,
Idea 3,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,20.93,N/A,None
2,13.12,N/A,"[327, 328, 916]"
3,95.83,N/A,"[327, 328, 916]"
4,34.71,N/A,"[327, 328, 916]"
5,15.51,N/A,None
6,42.32,N/A,"[327, 328, 916]"
7,25.79,N/A,"[327, 328, 916]"
8,85.77,N/A,"[327, 328, 916]"
9,98.32,N/A,"[327, 328, 916]"
10,67.45,N/A,"[327, 328, 916]"
