"	Copilot Raw	",,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,3.07,4.4,"[770, 307, 400], [78]"
2,3.56,1.5,"[770, 307, 400], [78]"
3,3.92,3.4,"[770, 307, 400], [78]"
4,3.61,3.2,"[770, 307, 400], [78]"
5,3.68,10.3,"[770, 307, 400], [78]"
6,3.47,8.2,"[770, 307, 400], [78]"
7,3.09,3.1,"[770, 307, 400], [78]"
8,3.16,7.6,"[770, 307, 400], [78]"
9,3.18,5.2,"[770, 307, 400], [78]"
10,3.19,10.9,"[770, 307, 400], [78]"
,,,
Idea 1,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,5.01,4.5,"[770, 307, 400]"
2,5.02,3.6,"[770, 307, 400], [78]"
3,5.21,2.9,"[770, 307, 400]"
4,5.08,4.3,"[770, 307, 400]"
5,5.09,9.2,"[770, 307, 400], [78]"
6,5.33,3.2,"[770, 307, 400], [78]"
7,5.41,5.4,"[770, 307, 400]"
8,5.26,6.2,"[770, 307, 400], [78]"
9,5.72,8.7,"[770, 307, 400]"
10,5.22,10.1,"[770, 307, 400], [78]"
,,,
Idea 2,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,6.01,4.4,"[770, 307, 400], [78]"
2,6.31,5.5,"[770, 307, 400], [78]"
3,6.22,4.8,"[770, 307, 400], [78]"
4,6.02,2.6,"[770, 307, 400], [78]"
5,6.54,4.4,"[770, 307, 400], [78]"
6,6.27,8.6,"[770, 307, 400], [78]"
7,6.32,1.7,"[770, 307, 400], [78]"
8,6.57,5.1,"[770, 307, 400], [78]"
9,6.11,10.2,"[770, 307, 400], [78]"
10,6.09,3.1,"[770, 307, 400], [78]"
,,,
Idea 3,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,,N/A,
2,,N/A,
3,,N/A,
4,,N/A,
5,,N/A,
6,,N/A,
7,,N/A,
8,,N/A,
9,,N/A,
10,,N/A,
